"연번","업체아이디","킬로미터당원가","관할행정아이디","입력일자","최종처리자아이디","수정일자","영역분류","일일대당원가","평가연도","평가차수"
"1","1041","622","3","2012-07-10","1","2012-07-10","1","307546","2012","19"
"2","1000","461","30","2012-07-10","1","2012-07-10","2","305872","2012","19"
"3","1006","511","30","2012-07-10","1","2012-07-10","2","289164","2012","19"
"4","1010","494","30","2012-07-10","1","2012-07-10","2","214690","2012","19"
"5","1011","374","30","2012-07-10","1","2012-07-10","2","219583","2012","19"
"6","1012","535","30","2012-07-10","1","2012-07-10","2","234675","2012","19"
"7","1030","479","7","2012-07-15","1","2012-07-10","1","248352","2012","19"
"8","1044","1","","2012-07-09","1","2012-07-09","1","2","2012","20"
"9","1030","1","7","2012-07-09","1","2012-07-09","1","2","2012","20"
"10","1044","1","7","2012-07-09","1","2012-07-09","1","2","2012","20"
"11","1032","1","7","2012-07-09","1","2012-07-09","1","2","2012","20"
"12","1031","1","19","2012-07-09","1","2012-07-09","4","2","2012","20"
"13","1044","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"14","1013","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"15","1006","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"16","1006","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"17","1015","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"18","1043","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"19","1008","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"20","1016","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"21","1010","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"22","1034","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"23","1011","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"24","1011","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"25","1012","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"26","1012","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"27","1018","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"28","1025","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"29","1013","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"30","1014","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"31","1014","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"32","1041","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"33","1034","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"34","1040","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"35","1042","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"36","1035","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"37","1040","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"38","1023","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"39","1019","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"40","1038","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"41","1000","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"42","1027","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"43","1025","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"44","1001","1","14","2012-07-09","1","2012-07-09","4","2","2012","20"
"45","1002","1","5","2012-07-09","1","2012-07-09","1","2","2012","20"
"46","1009","1","5","2012-07-09","1","2012-07-09","1","2","2012","20"
"47","1004","1","5","2012-07-09","1","2012-07-09","1","2","2012","20"
"48","1016","1","15","2012-07-09","1","2012-07-09","4","2","2012","20"
"49","1024","1","6","2012-07-09","1","2012-07-09","1","2","2012","20"
"50","1029","1","4","2012-07-09","1","2012-07-09","1","2","2012","20"
"51","1011","1","4","2012-07-09","1","2012-07-09","1","2","2012","20"
"52","1026","1","17","2012-07-09","1","2012-07-09","4","2","2012","20"
"53","1042","1","8","2012-07-09","1","2012-07-09","1","2","2012","20"
"54","1006","1","8","2012-07-09","1","2012-07-09","1","2","2012","20"
"55","1031","1","11","2012-07-09","1","2012-07-09","4","2","2012","20"
"56","1013","1","11","2012-07-09","1","2012-07-09","4","2","2012","20"
"57","1028","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"58","1018","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"59","1025","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"60","1046","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"61","1035","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"62","1044","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"63","1037","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"64","1007","1","13","2012-07-09","1","2012-07-09","4","2","2012","20"
"65","1036","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"66","1033","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"67","1022","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"68","1038","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"69","1017","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"70","1039","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"71","1005","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"72","1034","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"73","1038","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"74","1020","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"75","1039","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"76","1019","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"77","1033","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"78","1017","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"79","1003","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"80","1041","1","3","2013-07-15","1","2013-07-15","1","2","2013","24"
"81","1034","1","3","2013-07-15","1","2013-07-15","1","2","2013","24"
"82","1025","1","3","2013-07-15","1","2013-07-15","1","2","2013","24"
"83","1035","1","16","2013-07-15","1","2013-07-15","4","2","2013","24"
"84","1021","1","12","2013-07-15","1","2013-07-15","4","2","2013","24"
"85","1031","1","18","2013-07-15","1","2013-07-15","4","2","2013","24"
"86","1008","1","18","2013-07-15","1","2013-07-15","4","2","2013","24"
"87","1031","1","20","2013-07-15","1","2013-07-15","4","2","2013","24"
"88","1031","306","18","2013-07-15","1","2013-07-15","4","186680","2013","26"
"89","1021","623","12","2013-07-15","1","2013-07-15","4","264156","2013","26"
"90","1035","494","16","2013-07-15","1","2013-07-15","4","219145","2013","26"
"91","1025","737","3","2013-07-15","1","2013-07-15","1","307272","2013","26"
"92","1034","737","3","2013-07-15","1","2013-07-15","1","307272","2013","26"
"93","1041","737","3","2013-07-15","1","2013-07-15","1","307272","2013","26"
"94","1032","1","7","2013-07-15","1","2013-07-15","1","2","2013","24"
"95","1044","1","7","2013-07-15","1","2013-07-15","1","2","2013","24"
"96","1030","1","7","2013-07-15","1","2013-07-15","1","2","2013","24"
"97","1031","1","19","2013-07-15","1","2013-07-15","4","2","2013","24"
"98","1023","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"99","1000","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"100","1006","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"101","1006","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"102","1025","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"103","1025","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"104","1008","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"105","1040","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"106","1010","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"107","1018","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"108","1011","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"109","1011","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"110","1012","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"111","1012","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"112","1042","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"113","1013","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"114","1013","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"115","1014","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"116","1014","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"117","1015","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"118","1035","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"119","1016","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"120","1041","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"121","1044","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"122","1034","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"123","1040","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"124","1019","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"125","1038","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"126","1034","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"127","1043","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"128","1027","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"129","1001","1","14","2013-07-15","1","2013-07-15","4","2","2013","24"
"130","1004","1","5","2013-07-15","1","2013-07-15","1","2","2013","24"
"131","1002","1","5","2013-07-15","1","2013-07-15","1","2","2013","24"
"132","1009","1","5","2013-07-15","1","2013-07-15","1","2","2013","24"
"133","1016","1","15","2013-07-15","1","2013-07-15","4","2","2013","24"
"134","1024","1","6","2013-07-15","1","2013-07-15","1","2","2013","24"
"135","1011","1","4","2013-07-15","1","2013-07-15","1","2","2013","24"
"136","1029","1","4","2013-07-15","1","2013-07-15","1","2","2013","24"
"137","1026","1","17","2013-07-15","1","2013-07-15","4","2","2013","24"
"138","1042","1","8","2013-07-15","1","2013-07-15","1","2","2013","24"
"139","1006","1","8","2013-07-15","1","2013-07-15","1","2","2013","24"
"140","1013","1","11","2013-07-15","1","2013-07-15","4","2","2013","24"
"141","1031","1","11","2013-07-15","1","2013-07-15","4","2","2013","24"
"142","1046","1","2","2013-07-15","1","2013-07-15","1","2","2013","24"
"143","1044","1","2","2013-07-15","1","2013-07-15","1","2","2013","24"
"144","1028","1","2","2013-07-15","1","2013-07-15","1","2","2013","24"
"145","1025","1","2","2013-07-15","1","2013-07-15","1","2","2013","24"
"146","1035","1","2","2013-07-15","1","2013-07-15","1","2","2013","24"
"147","1037","1","2","2013-07-15","1","2013-07-15","1","2","2013","24"
"148","1018","1","2","2013-07-15","1","2013-07-15","1","2","2013","24"
"149","1007","1","13","2013-07-15","1","2013-07-15","4","2","2013","24"
"150","1022","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"151","1036","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"152","1031","1","11","2013-07-15","1","2013-07-15","4","2","2013","25"
"153","1046","1","2","2013-07-15","1","2013-07-15","1","2","2013","25"
"154","1044","1","2","2013-07-15","1","2013-07-15","1","2","2013","25"
"155","1028","1","2","2013-07-15","1","2013-07-15","1","2","2013","25"
"156","1025","1","2","2013-07-15","1","2013-07-15","1","2","2013","25"
"157","1035","1","2","2013-07-15","1","2013-07-15","1","2","2013","25"
"158","1037","1","2","2013-07-15","1","2013-07-15","1","2","2013","25"
"159","1018","1","2","2013-07-15","1","2013-07-15","1","2","2013","25"
"160","1007","1","13","2013-07-15","1","2013-07-15","4","2","2013","25"
"161","1022","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"162","1036","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"163","1005","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"164","1034","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"165","1038","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"166","1020","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"167","1039","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"168","1019","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"169","1033","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"170","1017","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"171","1003","1","1","2013-07-15","1","2013-07-15","1","2","2013","25"
"172","1041","1","3","2013-07-15","1","2013-07-15","1","2","2013","25"
"173","1034","1","3","2013-07-15","1","2013-07-15","1","2","2013","25"
"174","1025","1","3","2013-07-15","1","2013-07-15","1","2","2013","25"
"175","1035","1","16","2013-07-15","1","2013-07-15","4","2","2013","25"
"176","1021","1","12","2013-07-15","1","2013-07-15","4","2","2013","25"
"177","1031","1","18","2013-07-15","1","2013-07-15","4","2","2013","25"
"178","1008","1","18","2013-07-15","1","2013-07-15","4","2","2013","25"
"179","1031","1","20","2013-07-15","1","2013-07-15","4","2","2013","25"
"180","1036","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"181","1003","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"182","1017","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"183","1033","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"184","1019","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"185","1039","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"186","1020","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"187","1038","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"188","1034","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"189","1005","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"190","1022","597","1","2013-07-20","1","2013-07-24","1","407938","2013","26"
"191","1007","353","13","2013-07-20","1","2013-07-24","4","115322","2013","26"
"192","1046","592","2","2013-07-20","1","2013-07-24","1","326558","2013","26"
"193","1037","592","2","2013-07-20","1","2013-07-24","1","326558","2013","26"
"194","1025","592","2","2013-07-20","1","2013-07-24","1","326558","2013","26"
"195","1028","592","2","2013-07-20","1","2013-07-24","1","326558","2013","26"
"196","1031","306","11","2013-07-20","1","2013-07-23","4","186680","2013","26"
"197","1013","383","11","2013-07-20","1","2013-07-23","4","200212","2013","26"
"198","1006","540","8","2013-07-20","1","2013-07-24","1","260676","2013","26"
"199","1042","540","8","2013-07-20","1","2013-07-24","1","260676","2013","26"
"200","1026","305","17","2013-07-20","1","2013-07-23","4","98729","2013","26"
"201","1029","469","4","2013-07-20","1","2013-07-24","1","281801","2013","26"
"202","1011","469","4","2013-07-20","1","2013-07-24","1","281801","2013","26"
"203","1024","503","6","2013-07-20","1","2013-07-24","1","226862","2013","26"
"204","1016","484","15","2013-07-20","1","2013-07-23","4","181982","2013","26"
"205","1004","570","5","2013-07-20","1","2013-07-24","1","351689","2013","26"
"206","1002","570","5","2013-07-20","1","2013-07-24","1","351689","2013","26"
"207","1009","570","5","2013-07-20","1","2013-07-24","1","351689","2013","26"
"208","1001","318","14","2013-07-20","1","2013-07-23","4","202897","2013","26"
"209","1031","306","19","2013-07-20","1","2013-07-20","4","202630","2013","26"
"210","1030","513","7","2013-07-20","1","2013-07-20","1","315885","2013","26"
"211","1032","513","7","2013-07-20","1","2013-07-20","1","315885","2013","26"
"212","1043","528","30","2013-08-07","1","2013-08-07","2","216456","2013","27"
"213","1012","625","30","2013-11-25","1","2013-12-09","2","265376","2013","29"
"214","1031","306","20","2013-07-20","1","2013-07-23","4","186680","2013","26"
"215","1008","308","18","2013-07-20","1","2013-07-23","4","195669","2013","26"
"216","1011","469","4","2013-09-01","1","2013-09-01","1","281801","2013","28"
"217","1024","503","6","2013-09-01","1","2013-09-01","1","226862","2013","28"
"218","1016","484","15","2013-09-01","1","2013-09-01","4","181982","2013","28"
"219","1004","570","5","2013-09-01","1","2013-09-01","1","351689","2013","28"
"220","1002","570","5","2013-09-01","1","2013-09-01","1","351689","2013","28"
"221","1009","570","5","2013-09-01","1","2013-09-01","1","351689","2013","28"
"222","1001","318","14","2013-09-01","1","2013-09-01","4","202897","2013","28"
"223","1031","306","19","2013-09-01","1","2013-09-01","4","186680","2013","28"
"224","1030","492","7","2013-09-01","1","2013-09-01","1","291900","2013","28"
"225","1032","492","7","2013-09-01","1","2013-09-01","1","291900","2013","28"
"226","1019","1026","30","2013-09-01","1","2013-09-01","2","266688","2013","29"
"227","1018","643","30","2013-09-01","1","2013-09-01","2","259159","2013","28"
"228","1043","531","30","2013-09-01","1","2013-09-01","2","216456","2013","28"
"229","1010","583","30","2013-09-01","1","2013-09-01","2","234207","2013","28"
"230","1025","577","30","2013-09-01","1","2013-09-01","2","246637","2013","28"
"231","1000","510","30","2013-09-01","1","2013-09-01","2","307454","2013","28"
"232","1023","405","30","2013-09-01","1","2013-09-01","2","251684","2013","28"
"233","1006","564","30","2013-09-01","1","2013-09-01","2","320033","2013","28"
"234","1032","1","7","2013-07-15","1","2013-07-15","1","2","2013","25"
"235","1030","1","7","2013-07-15","1","2013-07-15","1","2","2013","25"
"236","1031","1","19","2013-07-15","1","2013-07-15","4","2","2013","25"
"237","1023","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"238","1000","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"239","1006","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"240","1006","1","30","2013-07-15","1","2013-07-15","3","2","2013","25"
"241","1025","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"242","1025","1","30","2013-07-15","1","2013-07-15","3","2","2013","25"
"243","1008","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"244","1040","1","30","2013-07-15","1","2013-07-15","3","2","2013","25"
"245","1010","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"246","1018","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"247","1011","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"248","1011","1","30","2013-07-15","1","2013-07-15","3","2","2013","25"
"249","1012","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"250","1012","1","30","2013-07-15","1","2013-07-15","3","2","2013","25"
"251","1042","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"252","1013","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"253","1013","1","30","2013-07-15","1","2013-07-15","3","2","2013","25"
"254","1014","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"255","1014","1","30","2013-07-15","1","2013-07-15","3","2","2013","25"
"256","1015","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"257","1035","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"258","1016","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"259","1041","1","30","2013-07-15","1","2013-07-15","3","2","2013","25"
"260","1044","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"261","1034","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"262","1040","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"263","1019","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"264","1038","1","30","2013-07-15","1","2013-07-15","3","2","2013","25"
"265","1034","1","30","2013-07-15","1","2013-07-15","3","2","2013","25"
"266","1043","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"267","1027","1","30","2013-07-15","1","2013-07-15","2","2","2013","25"
"268","1001","1","14","2013-07-15","1","2013-07-15","4","2","2013","25"
"269","1004","1","5","2013-07-15","1","2013-07-15","1","2","2013","25"
"270","1002","1","5","2013-07-15","1","2013-07-15","1","2","2013","25"
"271","1009","1","5","2013-07-15","1","2013-07-15","1","2","2013","25"
"272","1016","1","15","2013-07-15","1","2013-07-15","4","2","2013","25"
"273","1024","1","6","2013-07-15","1","2013-07-15","1","2","2013","25"
"274","1011","1","4","2013-07-15","1","2013-07-15","1","2","2013","25"
"275","1029","1","4","2013-07-15","1","2013-07-15","1","2","2013","25"
"276","1026","1","17","2013-07-15","1","2013-07-15","4","2","2013","25"
"277","1042","1","8","2013-07-15","1","2013-07-15","1","2","2013","25"
"278","1006","1","8","2013-07-15","1","2013-07-15","1","2","2013","25"
"279","1013","1","11","2013-07-15","1","2013-07-15","4","2","2013","25"
"280","1018","643","30","2013-07-20","1","2013-07-23","2","259159","2013","26"
"281","1042","520","30","2013-07-20","1","2013-07-23","2","394092","2013","26"
"282","1013","587","30","2013-07-20","1","2013-07-23","2","269381","2013","26"
"283","1014","527","30","2013-07-20","1","2013-07-23","2","304292","2013","26"
"284","1027","554","30","2013-07-20","1","2013-07-23","2","229977","2013","26"
"285","1011","437","30","2013-07-20","1","2013-07-23","2","235522","2013","26"
"286","1012","625","30","2013-07-20","1","2013-07-23","2","265376","2013","26"
"287","1035","558","30","2013-07-20","1","2013-07-23","2","252627","2013","26"
"288","1043","528","30","2013-07-20","1","2013-07-23","2","216456","2013","26"
"289","1015","587","30","2013-07-20","1","2013-07-23","2","256760","2013","26"
"290","1034","630","30","2013-07-20","1","2013-07-23","2","225919","2013","26"
"291","1019","681","30","2013-07-20","1","2013-07-23","2","266688","2013","26"
"292","1040","543","30","2013-07-20","1","2013-07-23","2","313513","2013","26"
"293","1016","516","30","2013-07-20","1","2013-07-23","2","253640","2013","26"
"294","1010","578","30","2013-07-20","1","2013-07-23","2","234207","2013","26"
"295","1008","529","30","2013-07-20","1","2013-07-23","2","230312","2013","26"
"296","1025","487","30","2013-07-20","1","2013-07-23","2","246637","2013","26"
"297","1006","564","30","2013-07-20","1","2013-07-23","2","320033","2013","26"
"298","1000","510","30","2013-07-20","1","2013-07-23","2","307454","2013","26"
"299","1023","405","30","2013-07-20","1","2013-07-23","2","251684","2013","26"
"300","1011","437","30","2013-08-07","1","2013-08-07","2","235522","2013","27"
"301","1011","437","30","2013-09-01","1","2013-09-01","2","235522","2013","28"
"302","1019","681","30","2013-09-01","1","2013-09-01","2","266688","2013","28"
"303","1014","527","30","2013-09-01","1","2013-09-01","2","301049","2013","28"
"304","1035","558","30","2013-09-01","1","2013-09-01","2","252627","2013","28"
"305","1027","553","30","2013-09-01","1","2013-09-01","2","229977","2013","28"
"306","1012","625","30","2013-09-01","1","2013-09-01","2","265376","2013","28"
"307","1013","587","30","2013-09-01","1","2013-09-01","2","269381","2013","28"
"308","1042","520","30","2013-09-01","1","2013-09-01","2","394092","2013","28"
"309","1015","587","30","2013-09-01","1","2013-09-01","2","256760","2013","28"
"310","1016","516","30","2013-09-01","1","2013-09-01","2","253640","2013","28"
"311","1034","630","30","2013-09-01","1","2013-09-01","2","225919","2013","28"
"312","1008","529","30","2013-09-01","1","2013-09-01","2","230312","2013","28"
"313","1040","543","30","2013-09-01","1","2013-09-01","2","313513","2013","28"
"314","1031","306","20","2013-09-01","1","2013-09-01","4","186680","2013","28"
"315","1008","308","18","2013-09-01","1","2013-09-01","4","195669","2013","28"
"316","1031","306","18","2013-09-01","1","2013-09-01","4","186680","2013","28"
"317","1021","623","12","2013-09-01","1","2013-09-01","4","264156","2013","28"
"318","1035","494","16","2013-09-01","1","2013-09-01","4","219145","2013","28"
"319","1025","737","3","2013-09-01","1","2013-09-01","1","307272","2013","28"
"320","1034","737","3","2013-09-01","1","2013-09-01","1","307272","2013","28"
"321","1041","737","3","2013-09-01","1","2013-09-01","1","307272","2013","28"
"322","1036","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"323","1003","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"324","1017","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"325","1033","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"326","1019","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"327","1039","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"328","1020","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"329","1038","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"330","1034","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"331","1005","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"332","1022","609","1","2013-09-01","1","2013-09-01","1","407938","2013","28"
"333","1007","353","13","2013-09-01","1","2013-09-01","4","115322","2013","28"
"334","1046","592","2","2013-09-01","1","2013-09-01","1","326558","2013","28"
"335","1037","592","2","2013-09-01","1","2013-09-01","1","326558","2013","28"
"336","1025","592","2","2013-09-01","1","2013-09-01","1","326558","2013","28"
"337","1028","592","2","2013-09-01","1","2013-09-01","1","326558","2013","28"
"338","1031","306","11","2013-09-01","1","2013-09-01","4","186680","2013","28"
"339","1013","383","11","2013-09-01","1","2013-09-01","4","200212","2013","28"
"340","1006","540","8","2013-09-01","1","2013-09-01","1","260676","2013","28"
"341","1042","540","8","2013-09-01","1","2013-09-01","1","260676","2013","28"
"342","1026","305","17","2013-09-01","1","2013-09-01","4","98729","2013","28"
"343","1029","469","4","2013-09-01","1","2013-09-01","1","281801","2013","28"
"344","1033","1","1","2020-11-15","1","2020-11-15","1","1","2020","56"
"345","1034","1","1","2020-11-15","1","2020-11-15","1","1","2020","56"
"346","1034","1","3","2020-11-15","1","2020-11-15","1","1","2020","56"
"347","1034","1","30","2020-11-15","1","2020-11-15","2","1","2020","56"
"348","1035","1","16","2020-11-15","1","2020-11-15","4","1","2020","56"
"349","1035","1","30","2020-11-15","1","2020-11-15","2","1","2020","56"
"350","1036","1","1","2020-11-15","1","2020-11-15","1","1","2020","56"
"351","1037","1","2","2020-11-15","1","2020-11-15","1","1","2020","56"
"352","1038","1","1","2020-11-15","1","2020-11-15","1","1","2020","56"
"353","1039","1","1","2020-11-15","1","2020-11-15","1","1","2020","56"
"354","1040","1","30","2020-11-15","1","2020-11-15","2","1","2020","56"
"355","1041","1","3","2020-11-15","1","2020-11-15","1","1","2020","56"
"356","1042","1","8","2020-11-15","1","2020-11-15","1","1","2020","56"
"357","1042","1","30","2020-11-15","1","2020-11-15","2","1","2020","56"
"358","1043","1","30","2020-11-15","1","2020-11-15","2","1","2020","56"
"359","1044","1","16","2020-11-15","1","2020-11-15","4","1","2020","56"
"360","1046","1","2","2020-11-15","1","2020-11-15","1","1","2020","56"
"361","1014","1","30","2020-11-17","1","2020-11-17","3","1","2020","56"
"362","1014","0","30","2020-11-17","115","2020-11-19","3","0","2020","50"
"363","1040","0","30","2020-11-17","115","2020-11-18","3","0","2020","50"
"364","1040","0","30","2020-11-17","115","2020-11-18","3","0","2020","53"
"365","1001","210","14","2020-12-02","1","2020-12-02","4","273277","2020","59"
"366","1002","371","5","2020-12-02","1","2020-12-02","1","468086","2020","59"
"367","1003","399","1","2020-12-02","1","2020-12-02","1","498378","2020","59"
"368","1004","371","5","2020-12-02","1","2020-12-02","1","468086","2020","59"
"369","1005","399","1","2020-12-02","1","2020-12-02","1","498378","2020","59"
"370","1006","370","8","2020-12-02","1","2020-12-02","1","399791","2020","59"
"371","1007","258","13","2020-12-02","1","2020-12-02","4","260616","2020","59"
"372","1008","206","18","2020-12-02","1","2020-12-02","4","297776","2020","59"
"373","1009","371","5","2020-12-02","1","2020-12-02","1","468086","2020","59"
"374","1011","285","4","2020-12-02","1","2020-12-02","1","382758","2020","59"
"375","1013","268","11","2020-12-02","1","2020-12-02","4","335026","2020","59"
"376","1013","277","20","2020-12-02","1","2020-12-02","4","353064","2020","59"
"377","1016","314","15","2020-12-02","1","2020-12-02","4","288789","2020","59"
"378","1017","399","1","2020-12-02","1","2020-12-02","1","498378","2020","59"
"379","1019","399","1","2020-12-02","1","2020-12-02","1","498378","2020","59"
"380","1020","399","1","2020-12-02","1","2020-12-02","1","498378","2020","59"
"381","1021","342","12","2020-12-02","1","2020-12-02","4","344914","2020","59"
"382","1022","399","1","2020-12-02","1","2020-12-02","1","498378","2020","59"
